Location,,,
Downtown,Metromix,1,Near Southside:Yelp;Near West Side:Yelp;Pilsen:Yelp;University Village:Yelp;Loop:ChicagoReader;Near South Side:ChicagoReader;Near West Side:ChicagoReader;Pilsen/Little Village:ChicagoReader;Loop:YellowPages;West Side:YellowPages;Near South Side:YellowPages;Pilsen:YellowPages;Loop:Menuism;Near South Side:Menuism;Near West Side:Menuism;Pilsen:Menuism;Central:CitySearch;Near West Side:CitySearch;Pilsen:CitySearch;South Side:CitySearch;Chinatown / Pilsen:MenuPages;Near West:MenuPages;South Loop / Near South:MenuPages;West Loop / Greektown:MenuPages;Central:DexKnows;Near South Side:DexKnows;Pilsen:DexKnows;West Side:DexKnows;Loop:Yahoo;Near West Side:Yahoo;Pilsen:Yahoo;Near South Side:Yahoo;Near South Side:Zagat;Pilsen:Zagat;University Village:Zagat;West Loop:Zagat;
Grant Park Museums,Metromix,0,The Loop:Yelp;Loop:ChicagoReader;Loop:YellowPages;Loop:Menuism;Central:CitySearch;Loop:MenuPages;Loop:DexKnows;Loop:Yahoo;Loop:Zagat;
Greektown,Metromix,0,Greektown:Yelp;Greektown:ChicagoReader;Greektown:YellowPages;West Loop:Menuism;Greektown:CitySearch;West Loop / Greektown:MenuPages;Greektown:DexKnows;Greektown:Yahoo;Greektown:Zagat;
Loop,Metromix,0,Printer's Row:Yelp;The Loop:Yelp;Loop:ChicagoReader;Loop:YellowPages;Loop:Menuism;Central:CitySearch;Loop:MenuPages;Loop:DexKnows;Loop:Yahoo;Loop:Zagat;
Near South Side,Metromix,0,Near Southside:Yelp;Near South Side:ChicagoReader;Near South Side:YellowPages;Near South Side:Menuism;Central:CitySearch;Chinatown / Pilsen:MenuPages;South Loop / Near South:MenuPages;Near South Side:DexKnows;Near South Side:Yahoo;Near South Side:Zagat;
South Loop,Metromix,0,South Loop:Yelp;South Loop:ChicagoReader;South Loop:YellowPages;South Loop:Menuism;Central:CitySearch;Loop:MenuPages;South Loop / Near South:MenuPages;Loop:DexKnows;Near South Side:DexKnows;Loop:Yahoo;Near South Side:Yahoo;South Loop:Zagat;
Warehouse District,Metromix,0,River West:Yelp;River West:ChicagoReader;Fulton Market:YellowPages;West Loop:Menuism;Near West Side:CitySearch;West Loop / Greektown:MenuPages;Near West Side:DexKnows;West Loop:Yahoo;River West:Zagat;
West Loop,Metromix,0,West Loop:Yelp;West Loop:ChicagoReader;West Loop:YellowPages;West Loop:Menuism;Near West Side:CitySearch;Greektown:CitySearch;West Loop / Greektown:MenuPages;Near West Side:DexKnows;Greektown:DexKnows;West Loop:Yahoo;West Loop:Zagat;
Near North,Metromix,1,Lincoln Park:Yelp;Near North Side:Yelp;Near West Side:Yelp;Noble Square:Yelp;Near North:ChicagoReader;Lincoln Park:ChicagoReader;Near West Side:ChicagoReader;West Town:ChicagoReader;Lincoln Park:YellowPages;Near North Side:YellowPages;West Side:YellowPages;Noble Square:YellowPages;Goose Island:Menuism;Lincoln Park:Menuism;Near North Side:Menuism;Near West Side:Menuism;Central:CitySearch;Goose Island:CitySearch;Lincoln Park:CitySearch;Near West Side:CitySearch;Lincoln Park / DePaul:MenuPages;Old Town / Goose Island:MenuPages;River North:MenuPages;West Loop / Greektown:MenuPages;Lincoln Park:DexKnows;Near North Side:DexKnows;West Side:DexKnows;West Town:DexKnows;Near North Side:Yahoo;West Town:Yahoo;Near West Side:Yahoo;Lincoln Park:Yahoo;Lincoln Park:Zagat;Near North:Zagat;West Loop:Zagat;West Town:Zagat;
Gold Coast,Metromix,0,Gold Coast:Yelp;Gold Coast/Mag Mile/Streeterville:ChicagoReader;Gold Coast:YellowPages;Near North Side:Menuism;Central:CitySearch;Gold Coast:MenuPages;Near North Side:DexKnows;Gold Coast:Yahoo;Gold Coast:Zagat;
Lincoln Park,Metromix,0,Lincoln Park:Yelp;Lincoln Park:ChicagoReader;Lincoln Park:YellowPages;Lincoln Park:Menuism;Lincoln Park:CitySearch;Lincoln Park / DePaul:MenuPages;Lincoln Park:DexKnows;Lincoln Park:Yahoo;Lincoln Park:Zagat;
Magnificent Mile,Metromix,0,Magnificent Mile:Yelp;Gold Coast/Mag Mile/Streeterville:ChicagoReader;Magnificent Mile:YellowPages;Near North Side:Menuism;Central:CitySearch;Streeterville:MenuPages;Near North Side:DexKnows;Streeterville:Yahoo;Streeterville:Zagat;
Near North Side,Metromix,0,Near North Side:Yelp;Gold Coast/Mag Mile/Streeterville:ChicagoReader;River North:ChicagoReader;Old Town:ChicagoReader;Gold Coast/Mag Mile/Streeterville:ChicagoReader;River North:ChicagoReader;Near North Side:YellowPages;Near North Side:Menuism;Central:CitySearch;Gold Coast:MenuPages;Old Town / Goose Island:MenuPages;River North:MenuPages;River North:MenuPages;Streeterville:MenuPages;Near North Side:DexKnows;Near North Side:Yahoo;Gold Coast:Zagat;Old Town:Zagat;River North:Zagat;River North:Zagat;Streeterville:Zagat;
Old Town,Metromix,0,Old Town:Yelp;Old Town:ChicagoReader;Old Town:YellowPages;Near North Side:Menuism;Lincoln Park:CitySearch;Old Town / Goose Island:MenuPages;Near North Side:DexKnows;Old Town:Yahoo;Old Town:Zagat;
River North,Metromix,0,River North:Yelp;River North:ChicagoReader;River North:YellowPages;Near North Side:Menuism;Central:CitySearch;River North:MenuPages;Near North Side:DexKnows;River North:Yahoo;River North:Zagat;
Rush & Division,Metromix,0,Gold Coast:Yelp;Gold Coast/Mag Mile/Streeterville:ChicagoReader;Gold Coast:YellowPages;Near North Side:Menuism;Central:CitySearch;Gold Coast:MenuPages;Near North Side:DexKnows;Gold Coast:Yahoo;Gold Coast:Zagat;
Sheffield/De Paul,Metromix,0,Lincoln Park:Yelp;Lincoln Park:ChicagoReader;Lincoln Park:YellowPages;Lincoln Park:Menuism;Lincoln Park:CitySearch;Lincoln Park / DePaul:MenuPages;Lincoln Park:DexKnows;Lincoln Park:Yahoo;Lincoln Park:Zagat;
